departamento,municipio,distrito,tipo_zona,nombre_zona,direccion,punto_referencia
Ahuachapán,Ahuachapán Norte,Atiquizaya,,,,
Ahuachapán,Ahuachapán Norte,El Refugio,,,,
Ahuachapán,Ahuachapán Norte,San Lorenzo,,,,
Ahuachapán,Ahuachapán Norte,Turín,,,,
Ahuachapán,Ahuachapán Centro,Ahuachapán,,,,
Ahuachapán,Ahuachapán Centro,Apaneca,,,,
Ahuachapán,Ahuachapán Centro,Concepción de Ataco,,,,
Ahuachapán,Ahuachapán Centro,Tacuba,,,,
Ahuachapán,Ahuachapán Sur,Guaymango,,,,
Ahuachapán,Ahuachapán Sur,Jujutla,,,,
Ahuachapán,Ahuachapán Sur,San Francisco Menéndez,,,,
Ahuachapán,Ahuachapán Sur,San Pedro Puxtla,,,,
San Salvador,San Salvador Norte,Aguilares,,,,
San Salvador,San Salvador Norte,El Paisnal,,,,
San Salvador,San Salvador Norte,Guazapa,,,,
San Salvador,San Salvador Oeste,Apopa,,,,
San Salvador,San Salvador Oeste,Nejapa,,,,
San Salvador,San Salvador Este,Ilopango,,,,
San Salvador,San Salvador Este,San Martín,,,,
San Salvador,San Salvador Este,Soyapango,,,,
San Salvador,San Salvador Este,Tonacatepeque,,,,
San Salvador,San Salvador Centro,Ayutuxtepeque,,,,
San Salvador,San Salvador Centro,Mejicanos,,,,
San Salvador,San Salvador Centro,San Salvador,,,,
San Salvador,San Salvador Centro,Cuscatancingo,,,,
San Salvador,San Salvador Centro,Ciudad Delgado,,,,
San Salvador,San Salvador Sur,Panchimalco,,,,
San Salvador,San Salvador Sur,Rosario de Mora,,,,
San Salvador,San Salvador Sur,San Marcos,,,,
San Salvador,San Salvador Sur,Santo Tomás,,,,
San Salvador,San Salvador Sur,Santiago Texacuangos,,,,
La Libertad,La Libertad Norte,Quezaltepeque,,,,
La Libertad,La Libertad Norte,San Matías,,,,
La Libertad,La Libertad Norte,San Pablo Tacachico,,,,
La Libertad,La Libertad Centro,San Juan Opico,,,,
La Libertad,La Libertad Centro,Ciudad Arce,,,,
La Libertad,La Libertad Oeste,Colón,,,,
La Libertad,La Libertad Oeste,Jayaque,,,,
La Libertad,La Libertad Oeste,Sacacoyo,,,,
La Libertad,La Libertad Oeste,Tepecoyo,,,,
La Libertad,La Libertad Oeste,Talnique,,,,
La Libertad,La Libertad Este,Antiguo Cuscatlán,,,,
La Libertad,La Libertad Este,Huizúcar,,,,
La Libertad,La Libertad Este,Nuevo Cuscatlán,,,,
La Libertad,La Libertad Este,San José Villanueva,,,,
La Libertad,La Libertad Este,Zaragoza,,,,
La Libertad,La Libertad Costa,Chiltiupán,,,,
La Libertad,La Libertad Costa,Jicalapa,,,,
La Libertad,La Libertad Costa,La Libertad,,,,
La Libertad,La Libertad Costa,Puerto de la Libertad,,,,
La Libertad,La Libertad Costa,Tamanique,,,,
La Libertad,La Libertad Costa,Teotepeque,,,,
La Libertad,La Libertad Sur,Comasagua,,,,
La Libertad,La Libertad Sur,Santa Tecla,,,,
Chalatenango,Chalatenango Norte,La Palma,,,,
Chalatenango,Chalatenango Norte,Citalá,,,,
Chalatenango,Chalatenango Norte,San Ignacio,,,,
Chalatenango,Chalatenango Centro,Nueva Concepción,,,,
Chalatenango,Chalatenango Centro,Tejutla,,,,
Chalatenango,Chalatenango Centro,La Reina,,,,
Chalatenango,Chalatenango Centro,Agua Caliente,,,,
Chalatenango,Chalatenango Centro,Dulce Nombre de María,,,,
Chalatenango,Chalatenango Centro,El Paraíso,,,,
Chalatenango,Chalatenango Centro,San Fernando,,,,
Chalatenango,Chalatenango Centro,San Francisco Morazán,,,,
Chalatenango,Chalatenango Centro,San Rafael,,,,
Chalatenango,Chalatenango Centro,Santa Rita,,,,
Chalatenango,Chalatenango Sur,Chalatenango,,,,
Chalatenango,Chalatenango Sur,Arcatao,,,,
Chalatenango,Chalatenango Sur,Azacualpa,,,,
Chalatenango,Chalatenango Sur,Comalapa,,,,
Chalatenango,Chalatenango Sur,Concepción Quezaltepeque,,,,
Chalatenango,Chalatenango Sur,El Carrizal,,,,
Chalatenango,Chalatenango Sur,La Laguna,,,,
Chalatenango,Chalatenango Sur,Las Vueltas,,,,
Chalatenango,Chalatenango Sur,Nombre de Jesús,,,,
Chalatenango,Chalatenango Sur,Nueva Trinidad,,,,
Chalatenango,Chalatenango Sur,Ojos de Agua,,,,
Chalatenango,Chalatenango Sur,Potonico,,,,
Chalatenango,Chalatenango Sur,San Antonio de la Cruz,,,,
Chalatenango,Chalatenango Sur,San Antonio Los Ranchos,,,,
Chalatenango,Chalatenango Sur,San Francisco Lempa,,,,
Chalatenango,Chalatenango Sur,San Isidro Labrador,,,,
Chalatenango,Chalatenango Sur,San José Cancasque,,,,
Chalatenango,Chalatenango Sur,San Miguel de Mercedes,,,,
Chalatenango,Chalatenango Sur,San José Las Flores,,,,
Chalatenango,Chalatenango Sur,San Luis del Carmen,,,,
Cuscatlán,Cuscatlán Norte,Suchitoto,,,,
Cuscatlán,Cuscatlán Norte,San José Guayabal,,,,
Cuscatlán,Cuscatlán Norte,Oratorio de Concepción,,,,
Cuscatlán,Cuscatlán Norte,San Bartolomé Perulapia,,,,
Cuscatlán,Cuscatlán Norte,San Pedro Perulapán,,,,
Cuscatlán,Cuscatlán Sur,Cojutepeque,,,,
Cuscatlán,Cuscatlán Sur,San Rafael Cedros,,,,
Cuscatlán,Cuscatlán Sur,Candelaria,,,,
Cuscatlán,Cuscatlán Sur,Monte San Juan,,,,
Cuscatlán,Cuscatlán Sur,El Carmen,,,,
Cuscatlán,Cuscatlán Sur,San Cristóbal,,,,
Cuscatlán,Cuscatlán Sur,Santa Cruz Michapa,,,,
Cuscatlán,Cuscatlán Sur,San Ramón,,,,
Cuscatlán,Cuscatlán Sur,El Rosario,,,,
Cuscatlán,Cuscatlán Sur,Santa Cruz Analquito,,,,
