colonia,municipio,departamento,label_forza,alias_busqueda,fuente
AHUACHAPÁN,Ahuachapán,Ahuachapán,"AHUACHAPÁN, Ahuachapán, Ahuachapán",AHUACHAPÁN,semilla_distrito
ASHAPUCO,Ahuachapán,Ahuachapán,"ASHAPUCO, Ahuachapán, Ahuachapán",ASHAPUCO,forza_confirmado
CHANCUYO,Ahuachapán,Ahuachapán,"CHANCUYO, Ahuachapán, Ahuachapán",CHANCUYO,forza_confirmado
CHIPILAPA,Ahuachapán,Ahuachapán,"CHIPILAPA, Ahuachapán, Ahuachapán",CHIPILAPA,forza_confirmado
CUYANAUSUL,Ahuachapán,Ahuachapán,"CUYANAUSUL, Ahuachapán, Ahuachapán",CUYANAUSUL,forza_confirmado
EL ANONAL,Ahuachapán,Ahuachapán,"EL ANONAL, Ahuachapán, Ahuachapán",EL ANONAL,forza_confirmado
EL BARRO,Ahuachapán,Ahuachapán,"EL BARRO, Ahuachapán, Ahuachapán",EL BARRO,forza_confirmado
EL JUNQUILLO,Ahuachapán,Ahuachapán,"EL JUNQUILLO, Ahuachapán, Ahuachapán",EL JUNQUILLO,forza_confirmado
ZONA CENTRAL Ahuachapán,Ahuachapán,Ahuachapán,"ZONA CENTRAL Ahuachapán, Ahuachapán, Ahuachapán",ZONA CENTRAL Ahuachapán,forza_confirmado
AHUACHAPÁN,Ahuachapán Centro,Ahuachapán,"AHUACHAPÁN, Ahuachapán Centro, Ahuachapán",AHUACHAPÁN,semilla_municipio_nuevo
APANECA,Ahuachapán Centro,Ahuachapán,"APANECA, Ahuachapán Centro, Ahuachapán",APANECA,semilla_municipio_nuevo
CONCEPCIÓN DE ATACO,Ahuachapán Centro,Ahuachapán,"CONCEPCIÓN DE ATACO, Ahuachapán Centro, Ahuachapán",CONCEPCIÓN DE ATACO,semilla_municipio_nuevo
TACUBA,Ahuachapán Centro,Ahuachapán,"TACUBA, Ahuachapán Centro, Ahuachapán",TACUBA,semilla_municipio_nuevo
ATIQUIZAYA,Ahuachapán Norte,Ahuachapán,"ATIQUIZAYA, Ahuachapán Norte, Ahuachapán",ATIQUIZAYA,semilla_municipio_nuevo
EL REFUGIO,Ahuachapán Norte,Ahuachapán,"EL REFUGIO, Ahuachapán Norte, Ahuachapán",EL REFUGIO,semilla_municipio_nuevo
SAN LORENZO,Ahuachapán Norte,Ahuachapán,"SAN LORENZO, Ahuachapán Norte, Ahuachapán",SAN LORENZO,semilla_municipio_nuevo
TURÍN,Ahuachapán Norte,Ahuachapán,"TURÍN, Ahuachapán Norte, Ahuachapán",TURÍN,semilla_municipio_nuevo
GUAYMANGO,Ahuachapán Sur,Ahuachapán,"GUAYMANGO, Ahuachapán Sur, Ahuachapán",GUAYMANGO,semilla_municipio_nuevo
JUJUTLA,Ahuachapán Sur,Ahuachapán,"JUJUTLA, Ahuachapán Sur, Ahuachapán",JUJUTLA,semilla_municipio_nuevo
SAN FRANCISCO MENÉNDEZ,Ahuachapán Sur,Ahuachapán,"SAN FRANCISCO MENÉNDEZ, Ahuachapán Sur, Ahuachapán",SAN FRANCISCO MENÉNDEZ,semilla_municipio_nuevo
SAN PEDRO PUXTLA,Ahuachapán Sur,Ahuachapán,"SAN PEDRO PUXTLA, Ahuachapán Sur, Ahuachapán",SAN PEDRO PUXTLA,semilla_municipio_nuevo
APANECA,Apaneca,Ahuachapán,"APANECA, Apaneca, Ahuachapán",APANECA,semilla_distrito
ATIQUIZAYA,Atiquizaya,Ahuachapán,"ATIQUIZAYA, Atiquizaya, Ahuachapán",ATIQUIZAYA,semilla_distrito
CONCEPCIÓN DE ATACO,Concepción de Ataco,Ahuachapán,"CONCEPCIÓN DE ATACO, Concepción de Ataco, Ahuachapán",CONCEPCIÓN DE ATACO,semilla_distrito
